x	y	e
2.0855653	0.6559776	0.0029433
2.3886340	0.5501696	0.0067102
2.5369099	0.4466019	0.0032172
2.6473487	0.3438115	0.0111541
2.8914842	0.1736937	0.0047122
2.9382094	0.1406266	0.0074072
2.9841027	0.1176955	0.0042494
3.0461317	0.0796569	0.0053393
3.0838422	0.0351243	0.0118431
3.1136566	0.0133437	0.0103204
3.1486045	0.0000000	0.0038300

