1173.228000   0.002230   0.000023 blue
1332.492000   0.002035   0.000021 blue
121.777000   0.008788   0.000099 red
244.700000   0.007062   0.000094 red
344.278500   0.005535   0.000061 red
443.965000   0.004503   0.000061 red
778.904500   0.002996   0.000037 red
867.380000   0.002758   0.000035 red
964.057000   0.002599   0.000033 red
1112.069000   0.002321   0.000031 red
1212.948000   0.002182   0.000030 red
1299.142000   0.002083   0.000029 red
1408.006000   0.001984   0.000029 red
846.510000   0.002858   0.000063 green
1037.843000   0.002479   0.000059 green
1238.288000   0.002162   0.000049 green
1360.212000   0.002092   0.000057 green
2015.215000   0.001470   0.000048 green
2034.791000   0.001498   0.000038 green
2598.500000   0.001211   0.000029 green
3009.645000   0.001048   0.000062 green
3202.029000   0.000994   0.000033 green
3253.503000   0.000934   0.000025 green
3273.079000   0.000988   0.000041 green
3451.232000   0.000875   0.000051 green
 53.162200   0.001270   0.000078 pink
 79.614200   0.005912   0.000153 pink
 80.997900   0.006044   0.000110 pink
276.398900   0.006486   0.000114 pink
302.850800   0.006075   0.000104 pink
356.012900   0.005384   0.000084 pink
383.848500   0.005079   0.000087 pink
