1	0	-5.9764189242	0.0606090537	1.05579858549597E-006	1.47344614905417E-007
2	0.3010299957	-4.8844477324	0.0442398459	1.30482499563739E-005	1.32917315774897E-006
3	0.4771212547	-4.3288114353	0.032378765	4.69016978687205E-005	3.4967495891273E-006
4	0.6020599913	-3.9717926669	0.0247330652	0.0001067105	6.07716410614212E-006
5	0.6989700043	-3.7161387651	0.0217388065	0.0001922477	0.000009623
6	0.7781512504	-3.5210495794	0.023105646	0.0003012662	1.60281804726048E-005
7	0.84509804	-3.3657830816	0.0271463516	0.0004307417	2.69242786420567E-005
8	0.903089987	-3.2384537277	0.0323088911	0.0005774924	0.000042962
9	0.9542425094	-3.1316650862	0.0378021037	0.0007384735	6.4278624070154E-005
10	1	-3.0405267248	0.0432920902	0.0009109054	9.08024400070685E-005
11	1.0413926852	-2.9616511729	0.0486445602	0.0010923173	0.0001223485
12	1.079181246	-2.8926038499	0.0538090845	0.0012805488	0.00015866
13	1.1139433523	-2.8315817385	0.0587713474	0.0014737311	0.0001994342
14	1.1461280357	-2.7772158995	0.0635328941	0.0016702601	0.0002443422
15	1.1760912591	-2.7284449182	0.0681021279	0.0018687667	0.0002930431
16	1.2041199827	-2.6844309148	0.0724901488	0.0020680883	0.0003451944
17	1.2304489214	-2.644502116	0.0767087842	0.002267242	0.0004004596
18	1.2552725051	-2.6081125663	0.0807696592	0.0024654002	0.0004585127
19	1.278753601	-2.5748132235	0.0846837745	0.0026618696	0.0005190422
20	1.3010299957	-2.5442308108	0.0884613393	0.0028560722	0.0005817527
21	1.3222192947	-2.5160520708	0.0921117301	0.0030475296	0.0006463661
22	1.3424226808	-2.4900118581	0.095643513	0.0032358482	0.0007126222
23	1.361727836	-2.4658840083	0.0990644948	0.0034207079	0.0007802786
24	1.3802112417	-2.4434742466	0.1023817853	0.0036018511	0.0008491104
25	1.3979400087	-2.4226146175	0.1056018623	0.0037790739	0.0009189093
26	1.414973348	-2.4031590626	0.1087306337	0.0039522184	0.0009894835
27	1.4313637642	-2.3849798769	0.1117734959	0.0041211661	0.0010606562
28	1.4471580313	-2.3679648437	0.1147353865	0.0042858321	0.0011322654
29	1.4623979979	-2.3520148991	0.1176208314	0.0044461601	0.0012041623
30	1.4771212547	-2.3370422138	0.1204339878	0.0046021184	0.0012762112
31	1.4913616938	-2.3229686074	0.1231786812	0.0047536959	0.0013482879
32	1.5051499783	-2.3097242281	0.1258584389	0.0049008992	0.0014202794
33	1.5185139399	-2.297246447	0.1284765196	0.00504375	0.0014920831
34	1.531478917	-2.2854789272	0.1310359395	0.0051822824	0.0015636055
35	1.5440680444	-2.2743708358	0.1335394954	0.005316541	0.0016347622
