x	y	e
3.9733476	-1.6343868	0.0490064
4.3944232	-0.1264917	0.0112709
5.6218451	0.2454359	0.0106393
5.7132403	0.1490890	0.0103378
5.8749670	0.0557069	0.0072965
5.9502479	0.0000000	0.0101932


