x	y	e
2.9276320929	0.0853980116	0.001809985
3.0161316605	0.0412304378	0.0050851488
3.0928216643	0	0.002258069
3.1336066019	-0.041487245	0.0104734426
3.3043213871	-0.1654162812	0.0128959281
3.3085198081	-0.1668192821	0.0073802331
3.4147227212	-0.2589736774	0.0051943964
3.4785152718	-0.2971595653	0.027989909
3.5054252609	-0.3239013282	0.0125506834
3.5123512115	-0.3499223366	0.0081014362
3.5149564877	-0.3455791791	0.0173030966
3.5379741546	-0.3992195978	0.0262559828

