1173.228000   0.028096   0.000281 blue
1332.492000   0.026565   0.000266 blue
121.777000   0.079013   0.000465 red
244.700000   0.058302   0.000451 red
344.278500   0.050039   0.000303 red
443.965000   0.044500   0.000571 red
778.904500   0.035267   0.000323 red
867.380000   0.032035   0.000397 red
964.057000   0.031776   0.000262 red
1112.069000   0.029059   0.000267 red
1212.948000   0.027896   0.000529 red
1299.142000   0.026290   0.000618 red
1408.006000   0.025886   0.000204 red
846.510000   0.034454   0.000848 green
1037.843000   0.031274   0.000824 green
1238.288000   0.028954   0.000718 green
1360.212000   0.026580   0.000912 green
2015.215000   0.021640   0.000689 green
2034.791000   0.020980   0.000601 green
2598.500000   0.017847   0.000466 green
3009.645000   0.017205   0.001098 green
3202.029000   0.015846   0.000565 green
3253.503000   0.015147   0.000455 green
3273.079000   0.015052   0.000595 green
3451.232000   0.014464   0.000826 green
 53.162200   0.040303   0.002913 pink
 80.997900   0.074674   0.004515 pink
276.398900   0.057126   0.002898 pink
302.850800   0.054097   0.002733 pink
356.012900   0.050029   0.000521 pink
383.848500   0.047267   0.002302 pink
1173.228000   0.028096   0.000281 blue
1332.492000   0.026565   0.000266 blue
121.777000   0.079013   0.001063 red
244.700000   0.058302   0.000837 red
344.278500   0.050039   0.000677 red
443.965000   0.044500   0.000785 red
778.904500   0.035267   0.000535 red
867.380000   0.032035   0.000555 red
964.057000   0.031776   0.000465 red
1112.069000   0.029059   0.000441 red
1212.948000   0.027896   0.000628 red
1299.142000   0.026290   0.000695 red
1408.006000   0.025886   0.000374 red
846.510000   0.034454   0.001046 green
1037.843000   0.031274   0.000994 green
1238.288000   0.028954   0.000883 green
1360.212000   0.026580   0.001027 green
2015.215000   0.021640   0.000789 green
2034.791000   0.020980   0.000708 green
2598.500000   0.017847   0.000563 green
3009.645000   0.017205   0.001140 green
3202.029000   0.015846   0.000631 green
3253.503000   0.015147   0.000529 green
3273.079000   0.015052   0.000652 green
3451.232000   0.014464   0.000865 green
 53.162200   0.040303   0.003016 pink
 80.997900   0.074674   0.004743 pink
276.398900   0.057126   0.003104 pink
302.850800   0.054097   0.002929 pink
356.012900   0.050029   0.001104 pink
383.848500   0.047267   0.002479 pink
