x		y		e
3.9733476	-1.3878073	0.06087712
4.8021915	1.4881737	0.0052310
5.5000330	1.2689629	0.0076802
5.8414509	1.0273973	0.0052805
6.0957457	0.8200490	0.0101480
6.6578884	0.4149575	0.0084178
6.7654772	0.3297884	0.0101284
6.8711504	0.2694067	0.0074698
7.0139775	0.1547657	0.0082614
7.1008090	0.0997521	0.0128390
7.1694593	0.0531205	0.0142185
7.2499298	0.0000000	0.0071559
4.3771925	0.1519379	0.0222116
4.3944232	0.1736337	0.0127280
5.6218451	0.2447143	0.0115067
5.7132403	0.1787626	0.0111124
5.8749670	0.0584730	0.0081478
5.9502479	0.0000000	0.0112686
6.7411220	0.2791331	0.0174034
6.9448998	0.1370649	0.0190856
7.1214851	0.0000000	0.0175996
7.2153958	-0.0321672	0.0240274
7.6084812	-0.3853177	0.0294411
7.6181484	-0.3671271	0.0221098
7.8626896	-0.5793814	0.0199160
8.0095774	-0.7227026	0.0569304
8.0715400	-0.7756718	0.0311725
8.0874875	-0.8382633	0.0238464
8.0934864	-0.7837287	0.0388240
8.1464865	-0.9030984	0.0565541
7.0675142032	-6.1058665184	0.0101034277
7.1948061523	-6.1971939672	0.0101036727

